Diag,Sum
0.7028,0.8023
0.7032,0.8063
0.7036,0.8056
0.704,0.8066
0.704,0.805
0.7044,0.8081
0.7044,0.8069
0.7047,0.8082
0.705,0.8094
0.705,0.8113
0.7055,0.8107
0.707,0.8132
0.7068,0.8139
0.7071,0.8154
0.7075,0.8159
0.7081,0.8181
0.7084,0.8195
0.7089,0.8191
0.7093,0.8215
0.7097,0.8203
0.7097,0.8209
0.7099,0.8201
0.7098,0.8196
0.7104,0.8189
0.7108,0.8188
0.7114,0.8188
0.712,0.8166
0.7125,0.8166
0.7127,0.8156
0.7133,0.8173
0.7135,0.8158
0.7143,0.817
0.7146,0.8138
0.7146,0.8167
0.7149,0.8145
0.715,0.8162
0.7153,0.8135
0.716,0.8167
0.7162,0.8123
0.7164,0.8154
0.7172,0.8106
0.7176,0.8141
0.7175,0.8107
0.7176,0.8129
0.7183,0.8099
0.7189,0.8122
0.7186,0.8121
0.7193,0.8123
0.7197,0.8107
0.7203,0.8132
0.7208,0.8122
0.7214,0.8146
0.7217,0.8123
0.7222,0.8134
0.7229,0.8111
0.7232,0.8124
0.7233,0.812
0.7233,0.815
0.7236,0.8128
0.724,0.8165
0.725,0.814
0.7251,0.8174
0.7255,0.8147
0.7261,0.8191
0.7261,0.8178
0.7267,0.8223
0.7276,0.8193
0.7283,0.8213
0.7289,0.8218
0.7291,0.8236
0.73,0.8239
0.7296,0.8246
0.7299,0.8243
0.7301,0.8245
0.7309,0.8253
0.7311,0.8243
0.732,0.8235
0.732,0.8229
0.7325,0.8227
0.7329,0.8212
0.7338,0.8206
0.7341,0.8188
0.7344,0.8198
0.7352,0.8173
0.7356,0.8174
0.7362,0.8151
0.7363,0.818
0.737,0.8153
0.7374,0.8182
0.7383,0.817
0.7393,0.8172
0.7396,0.8161
0.7401,0.8159
0.7406,0.8159
0.7411,0.8149
0.7419,0.8149
0.7428,0.8155
0.7432,0.816
0.744,0.8179
0.7441,0.8168
0.7447,0.8187
0.7449,0.8169
0.7446,0.8189
0.7453,0.816
0.746,0.8184
0.7466,0.815
0.7468,0.8184
0.7471,0.8158
0.7475,0.8188
0.7484,0.8172
0.7485,0.8195
0.7494,0.8187
0.7495,0.8222
0.7504,0.8197
0.7505,0.8208
0.7512,0.8208
0.7513,0.8215
0.7523,0.8222
0.7524,0.8215
0.7522,0.8221
0.7528,0.8216
0.7532,0.822
0.7537,0.8206
0.7541,0.8217
0.754,0.8217
0.7548,0.8231
0.7551,0.8208
0.7562,0.8233
0.7563,0.8216
0.7568,0.8229
0.7571,0.8219
0.7573,0.8241
0.7571,0.8196
0.7583,0.8224
0.7585,0.8207
0.7589,0.8222
0.7597,0.8203
0.7602,0.8211
0.7605,0.8216
0.7609,0.8205
0.7615,0.8207
0.7612,0.8184
0.762,0.8213
0.762,0.8207
0.7628,0.8228
0.7631,0.8212
0.7631,0.8248
0.7635,0.8219
0.7638,0.8259
0.7641,0.8232
0.764,0.8269
0.7645,0.8253
0.7655,0.8279
0.7667,0.8258
0.7671,0.828
0.7673,0.8266
0.7675,0.8269
0.7686,0.8268
0.7685,0.8273
0.7683,0.827
0.7682,0.8265
0.7691,0.8276
0.7687,0.8287
0.7691,0.8296
0.7694,0.8299
0.7699,0.8283
0.7702,0.8269
0.7706,0.8271
0.7706,0.8256
0.7711,0.8271
0.7709,0.8259
0.7712,0.8265
0.7722,0.8271
0.772,0.8265
0.7726,0.8263
0.7729,0.8269
0.7729,0.8246
0.7731,0.8259
0.7733,0.8244
0.7737,0.8265
0.774,0.8244
0.7751,0.8245
0.7748,0.8221
0.7752,0.8235
0.7757,0.821
0.7762,0.8234
0.7766,0.8213
0.7766,0.824
0.7771,0.8227
0.7774,0.8233
0.778,0.8221
0.7779,0.8235
0.7787,0.8229
0.779,0.823
0.7796,0.8215
0.7799,0.8218
0.7802,0.822
0.7803,0.8221
0.7805,0.8225
0.7808,0.823
0.7808,0.8236
0.7814,0.8248
0.782,0.8266
0.7822,0.8264
0.7823,0.8272
0.7827,0.8271
0.7829,0.826
0.7832,0.8264
0.7836,0.8265
0.7842,0.8267
0.7848,0.8266
0.7852,0.8264
0.7859,0.8251
0.7865,0.8278
0.7863,0.8242
0.7868,0.8271
0.7878,0.8263
0.7881,0.8279
0.7884,0.8248
0.7882,0.828
0.7893,0.8255
0.789,0.8295
0.7896,0.8261
0.7896,0.829
0.7896,0.8265
0.7898,0.8282
0.7903,0.8285
0.79,0.8298
0.79,0.8291
0.7899,0.8304
0.7906,0.8306
0.7911,0.8298
0.7913,0.8305
0.7912,0.8286
0.7914,0.8297
0.7919,0.8276
0.7912,0.8297
0.7914,0.8276
0.7915,0.83
0.7916,0.8266
0.7914,0.8293
0.792,0.8246
0.7917,0.828
0.793,0.8244
0.7923,0.8282
0.7931,0.8244
0.7923,0.827
0.7932,0.8245
0.7926,0.8264
0.7927,0.8245
0.7927,0.8258
0.7935,0.8251
0.7933,0.8258
0.7937,0.8264
0.794,0.8277
0.7941,0.8291
0.7943,0.8289
0.7953,0.8297
0.7953,0.8292
0.7958,0.8307
0.7964,0.8307
0.7964,0.8322
0.7968,0.8303
0.7971,0.8319
0.7977,0.83
0.7979,0.8321
0.7985,0.8305
0.7986,0.8314
0.7985,0.8307
0.7988,0.8325
0.7989,0.8322
0.799,0.833
0.7993,0.8327
0.7994,0.8316
0.8005,0.8331
0.8007,0.832
0.8009,0.8337
0.8008,0.8316
0.8007,0.8355
0.8012,0.8322
0.8018,0.8342
0.8023,0.8317
0.8023,0.8336
0.8022,0.8303
0.8025,0.8325
0.803,0.8297
0.803,0.8324
0.8032,0.8308
0.8036,0.8323
0.8029,0.83
0.8034,0.8323
0.8039,0.8315
0.8034,0.8328
0.8041,0.8305
0.804,0.8312
0.8042,0.8294
0.8044,0.8311
0.8049,0.8288
0.8049,0.8282
0.8055,0.8287
0.8057,0.8268
0.806,0.8297
0.8057,0.8266
0.8055,0.8286
0.8057,0.8262
0.8053,0.8263
0.8055,0.8266
0.8063,0.8268
0.8059,0.8265
0.8056,0.8244
0.8061,0.8251
0.806,0.8241
0.8057,0.8259
0.8059,0.8243
0.8055,0.8281
0.8051,0.8261
0.8052,0.8296
0.805,0.8305
0.8046,0.8319
0.8044,0.8315
0.8043,0.8328
0.8046,0.8339
0.8049,0.8343
0.8049,0.8344
0.8054,0.8345
0.8052,0.8345
0.8057,0.8343
0.8059,0.8349
0.8054,0.8329
0.8051,0.8313
0.8055,0.8325
0.8051,0.8302
0.8057,0.831
0.8056,0.8294
0.8064,0.8305
0.8072,0.8307
0.8071,0.831
0.8072,0.8303
0.8079,0.8303
0.808,0.8305
0.8085,0.8311
0.8086,0.8317
0.8089,0.8326
0.8094,0.8324
0.8092,0.833
0.8089,0.8319
0.8096,0.8326
0.8096,0.8323
0.8094,0.8327
0.81,0.8308
0.8099,0.8328
0.8101,0.8322
0.81,0.834
0.8099,0.8314
0.8107,0.833
0.8106,0.8333
0.8109,0.835
0.8108,0.832
0.8108,0.8356
0.8108,0.834
0.8108,0.835
0.8109,0.8333
0.8107,0.8338
0.8108,0.8324
0.8101,0.8338
0.8107,0.8328
0.8101,0.8321
0.8106,0.8314
0.8103,0.8318
0.8109,0.8316
0.811,0.8331
0.8113,0.8325
0.8121,0.8341
0.8122,0.8328
0.8124,0.8352
0.8122,0.8343
0.8123,0.8359
0.8118,0.8344
0.8119,0.8356
0.812,0.8349
0.8123,0.8363
0.8123,0.8351
0.8125,0.8363
0.8124,0.8355
0.8128,0.8354
0.8125,0.8348
0.8128,0.8351
0.8128,0.8363
0.8127,0.8354
0.8125,0.837
0.8125,0.8352
0.8123,0.8369
0.8128,0.835
0.8124,0.8347
0.8133,0.8355
0.813,0.8344
0.8129,0.8339
0.8132,0.8335
0.813,0.8329
0.813,0.833
0.8127,0.8301
0.8126,0.8297
0.8124,0.829
0.8121,0.8286
0.8123,0.8275
0.8115,0.8271
0.8121,0.824
0.8112,0.8249
0.8111,0.8252
0.8109,0.8246
0.811,0.827
0.8109,0.8256
0.8117,0.8274
0.8108,0.8261
0.8117,0.8274
0.8107,0.8272
0.8121,0.83
0.8112,0.8282
0.8122,0.8307
0.8112,0.8304
0.8119,0.8326
0.8118,0.8318
0.8127,0.8334
0.812,0.8343
0.813,0.8354
0.8129,0.8353
0.8135,0.8353
0.8136,0.8345
0.8138,0.8344
0.8142,0.8347
0.8145,0.8334
0.8143,0.8341
0.8145,0.8317
0.8148,0.8333
0.8152,0.8309
0.8153,0.8327
0.815,0.8309
0.8158,0.8316
0.8159,0.8307
0.8162,0.8326
0.8163,0.8315
0.8167,0.8335
0.8166,0.8313
0.8167,0.8336
0.8168,0.8336
0.8169,0.8348
0.817,0.8361
0.8175,0.8349
0.8175,0.837
0.8175,0.8344
0.8178,0.8388
0.8177,0.8366
0.8173,0.8403
0.8176,0.8376
0.8173,0.841
0.817,0.8375
0.8172,0.8427
0.8171,0.8392
0.8174,0.8425
0.8167,0.8412
0.8167,0.8436
0.817,0.8408
0.8168,0.8435
0.8169,0.841
0.8169,0.8434
0.8178,0.841
0.8173,0.8433
0.8174,0.8409
0.8175,0.8434
0.8186,0.8424
0.8184,0.8453
0.8186,0.8417
0.8179,0.8434
0.8185,0.8434
0.8182,0.8433
0.8187,0.844
0.8178,0.8433
0.8188,0.8436
0.8177,0.8436
0.8179,0.8441
0.8179,0.8429
0.8176,0.8418
0.817,0.841
0.8167,0.8405
0.8158,0.8414
0.816,0.8387
0.8147,0.84
0.8154,0.8384
0.814,0.8394
0.814,0.8359
0.8132,0.8389
0.8135,0.8355
0.8122,0.8375
0.8132,0.8362
0.8118,0.8379
0.8126,0.8359
0.8116,0.8361
0.8131,0.8346
0.8119,0.8383
0.8134,0.8338
0.812,0.8359
0.8138,0.8324
0.8126,0.8371
0.8147,0.8343
0.8143,0.8385
0.8157,0.8345
0.8152,0.8361
0.8162,0.8338
0.8172,0.8352
0.8174,0.8324
0.8177,0.8333
0.8179,0.8314
0.8179,0.8321
0.8187,0.8308
0.8189,0.8325
0.8191,0.8318
0.8188,0.8324
0.8196,0.8311
0.8195,0.8312
0.82,0.831
0.8203,0.8317
0.8204,0.8314
0.8205,0.8325
0.8211,0.8336
0.8209,0.8321
0.8211,0.8327
0.8205,0.8315
0.821,0.8316
0.821,0.8301
0.8202,0.8293
0.82,0.828
0.8206,0.8296
0.8208,0.8293
0.8207,0.8297
0.8207,0.8277
0.8211,0.8293
0.821,0.827
0.8216,0.8286
0.8211,0.828
0.8217,0.8291
0.8214,0.8288
0.8218,0.8295
0.8211,0.8293
0.8218,0.8307
0.8215,0.8306
0.8222,0.8347
0.8216,0.8341
0.822,0.8363
0.8215,0.8355
0.8222,0.8382
0.8224,0.8381
0.8229,0.8402
0.8228,0.8392
0.8232,0.841
0.8232,0.8401
0.8233,0.8414
0.8233,0.8403
0.8231,0.8415
0.8232,0.8398
0.8233,0.8419
0.823,0.8414
0.824,0.8427
0.8233,0.8422
0.8238,0.8417
0.8231,0.8414
0.8242,0.8417
0.8234,0.8417
0.8232,0.8424
0.8227,0.8427
0.8231,0.8433
0.8231,0.8432
0.8228,0.8437
0.8224,0.8429
0.8227,0.8423
0.8214,0.8409
0.8222,0.8419
0.8206,0.8406
0.8222,0.8412
0.8213,0.8397
0.8222,0.8389
0.8207,0.8383
0.8217,0.8381
0.818,0.8362
0.8204,0.8369
0.8181,0.8334
0.8198,0.834
0.8162,0.8334
0.8187,0.8342
0.8158,0.8315
0.8183,0.8334
0.8158,0.8314
0.8178,0.8337
0.8151,0.8306
0.8165,0.833
0.8139,0.8302
0.816,0.8343
0.8148,0.832
0.816,0.8352
0.8155,0.833
0.8173,0.837
0.8163,0.8335
0.8175,0.8377
0.8172,0.8333
0.8184,0.8361
0.818,0.8337
0.819,0.8375
0.8189,0.8344
0.82,0.8377
0.8196,0.8348
0.82,0.8387
0.8207,0.8375
0.8211,0.8391
0.821,0.8375
0.8211,0.8387
0.8211,0.8382
0.8212,0.8401
0.8215,0.8374
0.8216,0.8387
0.822,0.8356
0.8225,0.8368
0.8227,0.8336
0.8224,0.8353
0.8229,0.8308
0.8228,0.8326
0.8234,0.8288
0.8238,0.8304
0.8235,0.8273
0.8238,0.8273
0.8235,0.8237
0.8235,0.8252
0.823,0.822
0.8231,0.8233
0.8226,0.8209
0.823,0.8224
0.8224,0.8202
0.8233,0.8182
0.8225,0.821
0.823,0.8212
0.8228,0.8213
0.823,0.8212
0.8226,0.822
0.8237,0.8232
0.8233,0.8247
0.8236,0.8256
0.8238,0.8275
0.8238,0.8276
0.824,0.8306
0.8241,0.8324
0.8242,0.8331
0.8245,0.8346
0.8242,0.8349
0.8239,0.8367
0.8241,0.8383
0.8242,0.839
0.8242,0.838
0.8244,0.839
0.8246,0.838
0.825,0.8398
0.8242,0.8386
0.825,0.8399
0.8242,0.8386
0.8244,0.8406
0.8242,0.8396
0.8246,0.8395
0.824,0.8395
0.8238,0.8384
0.8229,0.8384
0.8233,0.8378
0.8225,0.8368
0.8231,0.8372
0.8217,0.8365
0.8221,0.8366
0.8222,0.8356
0.8227,0.8361
0.821,0.8345
0.8218,0.833
0.8202,0.8327
0.8205,0.8325
0.8196,0.8321
0.8195,0.8302
0.819,0.8308
0.818,0.8282
0.8185,0.8298
0.817,0.8282
0.8182,0.8294
0.8162,0.8272
0.8175,0.8305
0.8162,0.8297
0.8177,0.8314
0.8158,0.8318
0.8169,0.8333
0.8158,0.8319
0.8167,0.8354
0.8164,0.8357
0.817,0.8377
0.8158,0.8361
0.817,0.838
0.817,0.8375
0.818,0.8377
0.8178,0.8362
0.8188,0.8397
0.8189,0.8377
0.8194,0.8401
0.8199,0.8374
0.8199,0.8401
0.8206,0.8377
0.8209,0.8388
0.8211,0.8369
0.8218,0.8385
0.8217,0.8361
0.8212,0.8368
0.8214,0.835
0.8213,0.8367
0.8215,0.8348
0.8215,0.837
0.8219,0.8341
0.8216,0.8364
0.8224,0.8328
0.8226,0.8357
0.8234,0.8318
0.8227,0.834
0.8238,0.8313
0.8238,0.8324
0.8246,0.8303
0.8241,0.8309
0.8243,0.8275
0.8244,0.8311
0.8246,0.8263
0.824,0.8299
0.8243,0.8256
0.8234,0.8299
0.8236,0.8249
0.8235,0.8287
0.8245,0.8241
0.8234,0.828
0.8244,0.8248
0.8238,0.8279
0.8244,0.8251
0.8235,0.8302
0.8246,0.8282
0.8242,0.8341
0.8248,0.8302
0.8245,0.836
0.825,0.834
0.8241,0.8384
0.825,0.8369
0.8243,0.8392
0.8253,0.8389
0.8247,0.8406
0.8253,0.839
0.8246,0.8406
0.8256,0.8392
0.8247,0.8399
0.8262,0.8392
0.8248,0.8395
0.826,0.8387
0.8246,0.838
0.8261,0.8376
