Diag_l0,Diag_a0
0.3380718410015106,0.9514
0.339035165309906,0.9516
0.3368364632129669,0.9522
0.34145388007164,0.9516
0.33867990374565127,0.9531
0.3500447928905487,0.9525
0.36284557580947874,0.953
0.3790974020957947,0.9527
0.4032145321369171,0.9524
0.4271789908409119,0.9532
0.44809324145317075,0.952
0.4595777869224548,0.9519
0.46339253187179563,0.9506
0.43346349596977235,0.9503
0.41719684600830076,0.95
0.38620017766952514,0.951
0.36961241960525515,0.9512
0.3621584832668304,0.952
0.3567386090755463,0.9523
0.35681999921798707,0.9535
0.35967397689819336,0.9533
0.3666675388813019,0.9531
0.3591543912887573,0.9524
0.3493837952613831,0.953
0.3399975776672363,0.9528
0.3307416260242462,0.9529
0.32159036993980405,0.9533
0.31250098943710325,0.9527
0.3049734592437744,0.9542
0.3005663573741913,0.954
0.30046786069869996,0.9548
0.3022091925144196,0.955
0.3001014232635498,0.9555
0.2961717307567596,0.9555
0.2942070484161377,0.9561
0.2929930627346039,0.9559
0.2921271979808807,0.9562
0.29478488564491273,0.9562
0.29429237842559813,0.9568
0.29639358520507814,0.9567
0.29320979714393614,0.9573
0.2886809527873993,0.957
0.29502362608909605,0.9573
0.2909146785736084,0.9576
0.293195503950119,0.9579
0.2926972031593323,0.9581
0.29555460810661316,0.9584
0.28916825652122496,0.9581
0.29183709025383,0.9589
0.2961003065109253,0.9592
0.2961123168468475,0.9587
0.2900642275810242,0.9599
0.29920833706855776,0.9589
0.2986390173435211,0.9599
0.2971359193325043,0.959
0.2998513042926788,0.9598
0.30511088371276857,0.9596
0.3152786374092102,0.9593
0.3268812596797943,0.9593
0.33945912718772886,0.9585
0.35866654515266416,0.9595
0.3615641057491302,0.9582
0.36490886807441714,0.9594
0.364115309715271,0.9577
0.35820491909980773,0.9587
0.3594289064407349,0.9577
0.36344424486160276,0.9587
0.385774028301239,0.9591
0.42778703570365906,0.9574
0.4650498330593109,0.9575
0.49940547347068787,0.9564
0.49402201771736143,0.9548
0.4416410207748413,0.9543
0.39191983342170716,0.9539
0.34744045734405515,0.9539
