Sum_l1,Sum_a1
0.4234155476093292,0.8451
0.4817810028791428,0.8471
0.42317472100257875,0.8454
0.4753154456615448,0.8475
0.422299724817276,0.8456
0.46695336997509,0.8474
0.42210365235805514,0.8456
0.46264121532440183,0.8479
0.4205280214548111,0.8462
0.45565480291843413,0.8486
0.4186249166727066,0.8473
0.4526191294193268,0.8485
0.4164674192667007,0.8482
0.4513611614704132,0.8489
0.41602077782154084,0.8484
0.44942512214183805,0.8491
0.4118485480546951,0.8492
0.44915755093097687,0.8494
0.41199866831302645,0.8491
0.45010877549648287,0.85
0.40893942713737486,0.8485
0.44832039475440977,0.8503
0.40626247227191925,0.8486
0.4488701283931732,0.8498
0.4058690220117569,0.8487
0.4487544924020767,0.8504
0.4054988414049149,0.8493
0.4519311189651489,0.8505
0.4027394413948059,0.8487
0.4562738984823227,0.8505
0.3996066689491272,0.8483
0.4617162823677063,0.8506
0.39678492248058317,0.8473
0.4662065297365189,0.8504
0.3939388424158096,0.8468
0.4713177502155304,0.8499
0.3940790921449661,0.8465
0.474606928229332,0.85
0.3946801543235779,0.8463
0.47788958847522733,0.8499
0.39331451058387756,0.8467
0.47901645600795745,0.8498
0.3957530498504639,0.8466
0.4797965556383133,0.8489
0.39365674257278443,0.8467
0.47809630930423735,0.8488
0.3962729424238205,0.8465
0.47651911377906797,0.8485
0.39530167877674105,0.8473
0.47283115684986116,0.8486
0.3941913813352585,0.8477
0.4686151623725891,0.8487
0.39476696848869325,0.8469
0.46363998353481295,0.8494
0.3944172263145447,0.8478
0.45493100583553314,0.8501
0.3915117770433426,0.8476
0.4501873880624771,0.8505
0.3911959618330002,0.8485
0.44464658200740814,0.8508
0.3884576499462128,0.8489
0.4375937283039093,0.8514
0.38649961054325105,0.8498
0.4336845904588699,0.8521
0.38364743888378144,0.8498
0.42951574325561526,0.8524
0.38230388462543485,0.8501
0.42823897004127504,0.8532
0.3801781564950943,0.8503
0.4234118014574051,0.853
0.3796135902404785,0.8511
0.4213341951370239,0.8536
0.3790381968021393,0.8519
0.4145905375480652,0.8537
0.3798976600170135,0.8517
0.4129605799913406,0.8537
0.37977212071418764,0.8524
0.4113221377134323,0.8541
0.3772050112485886,0.8527
0.4109196662902832,0.8542
0.37734065055847166,0.8534
0.41144388616085054,0.8539
0.3749788969755173,0.8529
0.4116185188293457,0.8543
0.37114338874816893,0.8528
0.41340952217578886,0.8545
0.3698028355836868,0.8527
0.41677704751491546,0.8546
0.36975247263908384,0.8522
0.4167640537023544,0.8542
0.3668762743473053,0.8524
0.41956753134727476,0.8542
0.3662465214729309,0.8522
0.4235026776790619,0.8543
0.36431525349617006,0.8521
0.4269648313522339,0.8544
0.3652573198080063,0.8517
0.42645595967769623,0.8541
0.3648601949214935,0.8516
0.4303806722164154,0.8544
0.36099666357040405,0.8518
0.4275165855884552,0.854
0.36219289898872375,0.8517
0.42778144776821136,0.8542
0.3608689785003662,0.8515
0.4289820045232773,0.8544
0.36139323115348815,0.8514
0.4270307898521423,0.854
0.36255129277706144,0.8518
0.4208754628896713,0.8541
0.3631694793701172,0.8518
0.41934736669063566,0.8539
0.3624278962612152,0.8519
0.41864153444767,0.8543
0.36460438966751096,0.8519
0.41460306346416476,0.8544
0.3620407283306122,0.8518
0.40938644409179686,0.8542
0.36151662170886995,0.8521
0.4043804079294205,0.8543
0.3633144050836563,0.8519
0.4008271425962448,0.8544
0.36449749767780304,0.8524
0.3921679437160492,0.8549
0.36206965148448944,0.8526
0.39210304617881775,0.8545
0.3579822927713394,0.8529
0.3908808469772339,0.8555
0.35515156090259553,0.8539
0.38918091654777526,0.8553
0.35473117530345916,0.854
0.3871280550956726,0.8554
0.3537688970565796,0.8539
0.38783451318740847,0.8556
0.35367330610752107,0.8546
0.3896396279335022,0.8555
0.3504451125860214,0.8546
0.3889936923980713,0.8559
0.35056187510490416,0.8545
0.39231304824352264,0.8556
