Diag,Sum,FRSD,FROZEN
0.9256,0.9159,0.924,0.4048
0.9266,0.9145,0.9235,0.4056
0.9257,0.9159,0.9247,0.4057
0.9263,0.9144,0.9234,0.4061
0.925,0.9162,0.9237,0.4059
0.9266,0.9143,0.9232,0.4055
0.925,0.9159,0.9242,0.4054
0.9265,0.9147,0.9234,0.4072
0.9248,0.9163,0.9248,0.4061
0.9265,0.9147,0.9231,0.4069
0.9254,0.9161,0.9246,0.4071
0.9265,0.9151,0.9231,0.407
0.9252,0.9163,0.9243,0.4059
0.9263,0.9147,0.9228,0.4078
0.9251,0.9167,0.9254,0.4066
0.9266,0.9154,0.9231,0.4084
0.9252,0.9166,0.9246,0.4066
0.9266,0.9155,0.9237,0.408
0.9254,0.9166,0.9244,0.4072
0.9265,0.916,0.9235,0.4076
0.9259,0.917,0.925,0.4077
0.9264,0.9161,0.923,0.4086
0.9257,0.9171,0.9244,0.4081
0.9267,0.9161,0.9231,0.4088
0.9257,0.917,0.9245,0.4085
0.9267,0.9164,0.9238,0.4089
0.9258,0.9174,0.9252,0.4087
0.9267,0.9164,0.9234,0.4086
0.9261,0.9176,0.925,0.4094
0.9266,0.9163,0.9236,0.4088
0.9258,0.9177,0.9256,0.4093
0.927,0.9164,0.9236,0.4106
0.9263,0.9175,0.9252,0.4102
0.9265,0.9162,0.9242,0.4095
0.9265,0.9181,0.9247,0.4106
0.9267,0.9163,0.9244,0.4115
0.9268,0.9181,0.9255,0.41
0.9266,0.916,0.924,0.4114
0.9261,0.9177,0.9248,0.4112
