p=0.97,p=0.95,p=0.93
0.508,0.6251,0.6573
0.5076,0.6251,0.6578
0.5085,0.6255,0.6575
0.5088,0.6257,0.6576
0.5101,0.6255,0.6587
0.5095,0.6262,0.6583
0.5112,0.6253,0.6598
0.5095,0.6267,0.6607
0.5106,0.6268,0.6606
0.5094,0.6275,0.6609
0.5101,0.6267,0.6609
0.509,0.628,0.661
0.5098,0.628,0.6608
0.5097,0.6292,0.6617
0.5105,0.629,0.6619
0.5102,0.6302,0.6618
0.5103,0.6295,0.6626
0.5095,0.6311,0.6624
0.5093,0.6306,0.6625
0.5084,0.6311,0.6619
0.5095,0.6298,0.662
0.5081,0.6313,0.6611
0.5086,0.6303,0.6621
0.5078,0.632,0.6617
0.5083,0.6314,0.6627
0.5068,0.6332,0.6623
0.5088,0.6316,0.6625
0.5069,0.6339,0.663
0.5083,0.632,0.663
0.5062,0.6341,0.6634
0.5078,0.6326,0.6636
0.5079,0.6339,0.6634
0.508,0.6325,0.6645
0.5084,0.634,0.665
0.5088,0.6332,0.6643
0.5078,0.6345,0.6647
0.5091,0.6339,0.6653
0.5071,0.635,0.6647
0.509,0.6349,0.6658
0.5073,0.6362,0.666
0.5077,0.6356,0.6668
0.5064,0.6367,0.666
0.5076,0.6359,0.6662
0.5065,0.6376,0.666
0.5093,0.6368,0.6674
0.5076,0.6375,0.6664
0.5093,0.6362,0.6678
0.5076,0.6375,0.6679
0.5093,0.6367,0.6681
0.5085,0.6374,0.668
0.5097,0.6363,0.6687
0.5081,0.6379,0.6688
0.5097,0.6365,0.6689
0.5078,0.6384,0.6682
0.5098,0.6377,0.6688
0.5067,0.6384,0.6683
0.5078,0.6381,0.6696
0.5072,0.6386,0.6691
0.5089,0.6371,0.6694
0.5074,0.6392,0.6692
0.5086,0.6377,0.6696
0.5076,0.6403,0.6691
0.5075,0.6387,0.669
0.5076,0.6401,0.6691
0.508,0.6382,0.6692
0.5069,0.6403,0.6692
0.5074,0.6391,0.6702
0.507,0.6405,0.6701
0.5078,0.6392,0.6705
0.5061,0.64,0.6706
0.5073,0.6386,0.6713
0.5053,0.6402,0.6712
0.5065,0.6384,0.6719
0.5041,0.6398,0.6712
0.5056,0.6384,0.6718
0.5042,0.6395,0.6719
0.5042,0.6378,0.6719
0.503,0.6385,0.6721
0.5042,0.638,0.6728
0.5034,0.6388,0.6723
0.5042,0.6382,0.674
0.5035,0.639,0.6733
0.5041,0.6382,0.675
0.5034,0.6387,0.6743
0.5043,0.6384,0.6756
0.5029,0.639,0.6745
0.5033,0.6393,0.6754
0.5014,0.6399,0.6748
0.5026,0.6408,0.6765
0.5018,0.6409,0.6758
0.5027,0.641,0.6763
0.5015,0.6414,0.6757
0.5028,0.6407,0.6761
0.5005,0.6413,0.6762
0.5012,0.6407,0.6769
0.4998,0.6414,0.6766
0.5007,0.6416,0.6782
0.4994,0.6415,0.6778
0.5002,0.6415,0.6788
0.4995,0.6417,0.6785
0.4999,0.6416,0.6787
0.4989,0.6417,0.6783
0.4999,0.6422,0.6798
0.4982,0.6421,0.6792
0.4984,0.6417,0.6797
0.4975,0.6429,0.6786
0.4986,0.6422,0.6789
0.4986,0.6434,0.6786
0.499,0.6425,0.6788
0.4986,0.6434,0.6786
0.4986,0.6425,0.6791
0.4971,0.6428,0.6781
0.4977,0.643,0.6793
0.496,0.6434,0.679
0.4975,0.6423,0.6797
0.4956,0.6436,0.6794
0.4967,0.6425,0.6804
0.4962,0.6434,0.6804
0.4965,0.6421,0.6805
0.4964,0.6432,0.6808
0.4972,0.6417,0.6806
0.496,0.6433,0.6802
0.4974,0.6421,0.6809
0.4962,0.6439,0.6811
0.4971,0.6428,0.6822
0.4959,0.6433,0.6818
0.4973,0.6426,0.6821
0.4957,0.6439,0.6819
0.4977,0.6429,0.6831
0.4952,0.6438,0.6825
0.4968,0.6436,0.6835
0.4959,0.6443,0.6821
0.4962,0.6439,0.6842
0.4956,0.645,0.6838
0.4961,0.645,0.6845
0.4953,0.6459,0.6846
0.4953,0.6446,0.6858
0.4949,0.6465,0.6848
0.4951,0.646,0.6854
0.4939,0.6462,0.6847
0.4949,0.6446,0.6859
0.4944,0.645,0.6853
0.4949,0.6442,0.687
0.4948,0.6445,0.6854
0.4942,0.6436,0.6864
0.4941,0.6446,0.6863
0.4952,0.6435,0.6872
0.494,0.6442,0.6854
0.4942,0.6431,0.687
0.494,0.6442,0.686
0.4947,0.6433,0.6874
0.4935,0.6439,0.6865
0.4944,0.6433,0.6876
0.4933,0.6439,0.6862
0.4946,0.6436,0.6881
0.4929,0.6444,0.6873
0.4946,0.6431,0.6887
0.4934,0.6445,0.6879
0.4939,0.6436,0.6891
0.4929,0.6447,0.6882
0.4947,0.6438,0.6895
0.4928,0.6451,0.6887
0.4947,0.6434,0.6889
0.4927,0.6452,0.6883
0.4939,0.6429,0.6876
0.4929,0.6443,0.688
0.4939,0.6424,0.6872
0.4918,0.6442,0.6871
0.4933,0.6429,0.6867
0.4912,0.6446,0.6859
0.4919,0.6429,0.6878
0.4908,0.6443,0.686
0.4908,0.6424,0.6869
0.4904,0.6443,0.6856
0.4913,0.6415,0.6864
0.4903,0.6436,0.6853
0.4911,0.6414,0.6861
0.4917,0.6429,0.6858
0.4921,0.6419,0.6865
0.4922,0.643,0.6862
0.4918,0.6415,0.6863
0.4919,0.6423,0.6861
0.4921,0.6422,0.6861
0.4918,0.6419,0.6859
0.4923,0.6411,0.6864
0.4914,0.641,0.686
0.4917,0.64,0.686
0.4909,0.6399,0.6865
0.4921,0.6388,0.6869
0.491,0.6374,0.6867
0.4922,0.6382,0.6869
0.491,0.6377,0.6864
0.4927,0.6367,0.6867
0.491,0.6378,0.6872
0.4931,0.6365,0.6871
0.4905,0.637,0.688
0.4923,0.6362,0.6882
0.4898,0.6364,0.6886
0.4923,0.635,0.6886
0.4899,0.6364,0.6888
0.4917,0.6344,0.6893
0.4901,0.6359,0.6899
0.4916,0.6337,0.6894
0.4897,0.6356,0.6894
0.491,0.633,0.6902
0.4895,0.6362,0.6903
0.4899,0.6335,0.6904
0.4886,0.6368,0.6904
