Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.0,0.0,0.0,0.7807
0.0,0.0,0.0,0.7814
0.0,0.0,0.0,0.7811
0.0,0.0,0.0,0.7829
0.0,0.0,0.0,0.7833
0.0,0.0,0.0,0.7831
0.0,0.0,0.0,0.7839
0.0,0.0,0.0,0.785
0.0,0.0,0.0,0.7847
0.0,0.0,0.0,0.785
0.0,0.0,0.0,0.7856
0.0,0.0,0.0,0.7866
0.0,0.0,0.0,0.7865
0.0,0.0,0.0,0.7873
0.0,0.0,0.0,0.7872
0.0,0.0,0.0,0.7872
0.0,0.0,0.0,0.7876
0.0,0.0,0.0,0.7888
0.0,0.0,0.0,0.7881
0.0,0.0,0.0,0.7887
0.0,0.0,0.0,0.7893
0.0,0.0,0.0,0.7901
0.0,0.0,0.0,0.7898
0.0,0.0,0.0,0.7909
0.0,0.0,0.0,0.7908
0.0,0.0,0.0,0.7908
0.0,0.0,0.0,0.7917
0.0,0.0,0.0,0.7929
0.0,0.0,0.0,0.7926
0.0,0.0,0.0,0.7937
0.0,0.0,0.0,0.7928
0.0,0.0,0.0,0.7949
0.0,0.0,0.0,0.7934
0.0,0.0,0.0,0.7953
0.0,0.0,0.0,0.7953
0.0,0.0,0.0,0.7956
0.0,0.0,0.0,0.7959
0.0,0.0,0.0,0.796
0.0,0.0,0.0,0.7961
0.0,0.0,0.0,0.7974
0.0,0.0,0.0,0.7975
0.0,0.0,0.0,0.7991
0.0,0.0,0.0,0.7981
0.0,0.0,0.0,0.7995
0.0,0.0,0.0,0.7991
0.0,0.0,0.0,0.8
0.0,0.0,0.0,0.7994
0.0,0.0,0.0,0.8008
0.0,0.0,0.0,0.8006
0.0,0.0,0.0,0.801
0.0,0.0,0.0,0.8012
0.0,0.0,0.0,0.8018
0.0,0.0,0.0,0.8014
0.0,0.0,0.0,0.8023
0.0,0.0,0.0,0.8027
0.0,0.0,0.0,0.8033
0.0,0.0,0.0,0.803
0.0,0.0,0.0,0.8047
0.0,0.0,0.0,0.8029
0.0,0.0,0.0,0.8052
0.0,0.0,0.0,0.8039
0.0,0.0,0.0,0.8061
0.0,0.0,0.0,0.8065
0.0,0.0,0.0,0.8075
0.0,0.0,0.0,0.8069
0.0,0.0,0.0,0.8078
0.0,0.0,0.0,0.8071
0.0,0.0,0.0,0.8091
0.0,0.0,0.0,0.8075
0.0,0.0,0.0,0.8105
0.0,0.0,0.0,0.8093
0.0,0.0,0.0,0.81
0.0,0.0,0.0,0.8092
0.0,0.0,0.0,0.8108
0.0,0.0,0.0,0.8096
0.0,0.0,0.0,0.812
0.0,0.0,0.0,0.8093
0.0,0.0,0.0,0.8116
0.0,0.0,0.0,0.8103
0.0,0.0,0.0,0.8128
0.0,0.0,0.0,0.8106
0.0,0.0,0.0,0.8118
0.0,0.0,0.0,0.811
0.0,0.0,0.0,0.8138
0.0,0.0,0.0,0.8113
0.0,0.0,0.0,0.8139
0.0,0.0,0.0,0.811
0.0,0.0,0.0,0.8144
0.0,0.0,0.0,0.8111
0.0,0.0,0.0,0.8142
0.0,0.0,0.0,0.8117
0.0,0.0,0.0,0.8153
0.0,0.0,0.0,0.8132
0.0,0.0,0.0,0.8173
0.0,0.0,0.0,0.812
0.0,0.0,0.0,0.8159
0.0,0.0,0.0,0.8147
0.0,0.0,0.0,0.8175
0.0,0.0,0.0,0.813
0.0,0.0,0.0,0.8179
0.0,0.0,0.0,0.8169
0.0,0.0,0.0,0.8201
0.0,0.0,0.0,0.8139
0.0,0.0,0.0,0.8183
0.0,0.0,0.0,0.8176
0.0,0.0,0.0,0.8198
0.0,0.0,0.0,0.816
0.0,0.0,0.0,0.82
0.0,0.0,0.0,0.8184
0.0,0.0,0.0,0.8209
0.0,0.0,0.0,0.8176
0.0,0.0,0.0,0.8214
0.0,0.0,0.0,0.8195
0.0,0.0,0.0,0.8222
0.0,0.0,0.0,0.8179
0.0,0.0,0.0,0.8226
0.0,0.0,0.0,0.8209
0.0,0.0,0.0,0.8229
0.0,0.0,0.0,0.8198
0.0,0.0,0.0,0.824
0.0,0.0,0.0,0.8224
0.0,0.0,0.0,0.8239
0.0,0.0,0.0,0.8211
0.0,0.0,0.0,0.8243
0.0,0.0,0.0,0.8234
0.0,0.0,0.0,0.825
0.0,0.0,0.0,0.8223
0.0,0.0,0.0,0.8255
0.0,0.0,0.0,0.8245
0.0,0.0,0.0,0.8261
0.0,0.0,0.0,0.8234
0.0,0.0,0.0,0.8265
0.0,0.0,0.0,0.8254
0.0,0.0,0.0,0.8269
0.0,0.0,0.0,0.8251
0.0,0.0,0.0,0.8267
0.0,0.0,0.0,0.8273
0.0,0.0,0.0,0.828
0.0,0.0,0.0,0.8258
0.0,0.0,0.0,0.8282
0.0,0.0,0.0,0.8279
0.0,0.0,0.0,0.8299
0.0,0.0,0.0,0.8267
0.0,0.0,0.0,0.8282
0.0,0.0,0.0,0.8285
0.0,0.0,0.0,0.83
0.0,0.0,0.0,0.8277
0.0,0.0,0.0,0.8294
0.0,0.0,0.0,0.8294
0.0,0.0,0.0,0.8301
0.0,0.0,0.0,0.8286
0.0,0.0,0.0,0.8308
0.0,0.0,0.0,0.8298
0.0,0.0,0.0,0.8314
0.0,0.0,0.0,0.8296
0.0,0.0,0.0,0.8323
0.0,0.0,0.0,0.831
0.0,0.0,0.0,0.8328
0.0,0.0,0.0,0.8317
0.0,0.0,0.0,0.8334
0.0,0.0,0.0,0.8336
0.0,0.0,0.0,0.8339
0.0,0.0,0.0,0.8329
0.0,0.0,0.0,0.8343
0.0,0.0,0.0,0.8341
0.0,0.0,0.0,0.835
0.0,0.0,0.0,0.834
0.0,0.0,0.0,0.8365
0.0,0.0,0.0,0.8349
0.0,0.0,0.0,0.8369
0.0,0.0,0.0,0.8363
0.0,0.0,0.0,0.8377
0.0,0.0,0.0,0.8375
0.0,0.0,0.0,0.839
0.0,0.0,0.0,0.8377
0.0,0.0,0.0,0.8392
0.0,0.0,0.0,0.8396
0.0,0.0,0.0,0.8406
0.0,0.0,0.0,0.8418
0.0,0.0,0.0,0.8413
0.0,0.0,0.0,0.8424
0.0,0.0,0.0,0.8427
0.0,0.0,0.0,0.8425
0.0,0.0,0.0,0.843
0.0,0.0,0.0,0.844
0.0,0.0,0.0,0.8432
0.0,0.0,0.0,0.8451
0.0,0.0,0.0,0.8439
0.0,0.0,0.0,0.8456
0.0,0.0,0.0,0.8449
0.0,0.0,0.0,0.8458
0.0,0.0,0.0,0.8453
0.0,0.0,0.0,0.8465
0.0,0.0,0.0,0.8456
0.0,0.0,0.0,0.8473
0.0,0.0,0.0,0.8467
0.0,0.0,0.0,0.8477
0.0,0.0,0.0,0.8473
0.0,0.0,0.0,0.8488
0.0,0.0,0.0,0.8482
0.0,0.0,0.0,0.8488
0.0,0.0,0.0,0.8492
0.0,0.0,0.0,0.8495
0.0,0.0,0.0,0.8501
0.0,0.0,0.0,0.8506
0.0,0.0,0.0,0.8506
0.0,0.0,0.0,0.8517
0.0,0.0,0.0,0.8514
0.0,0.0,0.0,0.8513
0.0,0.0,0.0,0.852
0.0,0.0,0.0,0.8519
0.0,0.0,0.0,0.8517
0.0,0.0,0.0,0.8525
0.0,0.0,0.0,0.8537
0.0,0.0,0.0,0.8532
0.0,0.0,0.0,0.8539
0.0,0.0,0.0,0.8547
0.0,0.0,0.0,0.8549
0.0,0.0,0.0,0.8556
0.0,0.0,0.0,0.8561
0.0,0.0,0.0,0.8568
0.0,0.0,0.0,0.8563
0.0,0.0,0.0,0.8581
0.0,0.0,0.0,0.8572
0.0,0.0,0.0,0.8587
0.0,0.0,0.0,0.8576
0.0,0.0,0.0,0.8596
0.0,0.0,0.0,0.8587
0.0,0.0,0.0,0.8596
0.0,0.0,0.0,0.8597
0.0,0.0,0.0,0.8601
0.0,0.0,0.0,0.8599
0.0,0.0,0.0,0.8613
0.0,0.0,0.0,0.8612
0.0,0.0,0.0,0.8615
0.0,0.0,0.0,0.8614
0.0,0.0,0.0,0.8622
0.0,0.0,0.0,0.8627
0.0,0.0,0.0,0.8622
0.0,0.0,0.0,0.8623
0.0,0.0,0.0,0.8633
0.0,0.0,0.0,0.8621
0.0,0.0,0.0,0.8639
0.0,0.0,0.0,0.8634
0.0,0.0,0.0,0.8647
0.0,0.0,0.0,0.864
0.0,0.0,0.0,0.8657
0.0,0.0,0.0,0.8647
0.0,0.0,0.0,0.8657
0.0,0.0,0.0,0.8655
0.0,0.0,0.0,0.866
0.0,0.0,0.0,0.8657
0.0,0.0,0.0,0.8668
0.0,0.0,0.0,0.8656
0.0,0.0,0.0,0.867
0.0,0.0,0.0,0.8665
0.0,0.0,0.0,0.8673
0.0,0.0,0.0,0.867
0.0,0.0,0.0,0.8673
0.0,0.0,0.0,0.867
0.0,0.0,0.0,0.8693
0.0,0.0,0.0,0.868
0.0,0.0,0.0,0.869
0.0,0.0,0.0,0.8686
0.0,0.0,0.0,0.8697
0.0,0.0,0.0,0.8695
0.0,0.0,0.0,0.8707
0.0,0.0,0.0,0.8703
0.0,0.0,0.0,0.8712
0.0,0.0,0.0,0.8704
0.0,0.0,0.0,0.8708
0.0,0.0,0.0,0.8713
0.0,0.0,0.0,0.8725
0.0,0.0,0.0,0.8717
0.0,0.0,0.0,0.8724
0.0,0.0,0.0,0.872
0.0,0.0,0.0,0.8724
0.0,0.0,0.0,0.8728
0.0,0.0,0.0,0.8736
0.0,0.0,0.0,0.8735
0.0,0.0,0.0,0.8741
0.0,0.0,0.0,0.8736
0.0,0.0,0.0,0.8741
0.0,0.0,0.0,0.8736
0.0,0.0,0.0,0.8742
0.0,0.0,0.0,0.8744
0.0,0.0,0.0,0.8746
0.0,0.0,0.0,0.8755
0.0,0.0,0.0,0.8751
0.0,0.0,0.0,0.8754
0.0,0.0,0.0,0.875
0.0,0.0,0.0,0.8751
0.0,0.0,0.0,0.8759
0.0,0.0,0.0,0.8761
0.0,0.0,0.0,0.8762
0.0,0.0,0.0,0.8766
0.0,0.0,0.0,0.8768
0.0,0.0,0.0,0.8765
0.0,0.0,0.0,0.8777
0.0,0.0,0.0,0.8773
0.0,0.0,0.0,0.8779
0.0,0.0,0.0,0.8776
0.0,0.0,0.0,0.8785
0.0,0.0,0.0,0.878
0.0,0.0,0.0,0.8787
0.0,0.0,0.0,0.8787
0.0,0.0,0.0,0.8789
0.0,0.0,0.0,0.8789
0.0,0.0,0.0,0.8788
0.0,0.0,0.0,0.8793
0.0,0.0,0.0,0.8796
0.0,0.0,0.0,0.88
0.0,0.0,0.0,0.8799
0.0,0.0,0.0,0.8804
0.0,0.0,0.0,0.8802
0.0,0.0,0.0,0.8803
