Diag,Sum
0.8898,0.8787
0.8896,0.8813
0.8897,0.8792
0.8896,0.8817
0.8898,0.8787
0.8897,0.8808
0.8891,0.8785
0.8897,0.8818
0.8897,0.8799
0.8902,0.8817
0.8901,0.8794
0.8899,0.8815
0.89,0.8791
0.8898,0.882
0.8891,0.8801
0.8892,0.882
0.8888,0.8808
0.8894,0.8814
0.8891,0.8805
0.8892,0.8817
0.889,0.8805
0.89,0.882
0.89,0.8805
0.8901,0.882
0.8901,0.8811
0.89,0.8817
0.8895,0.8806
0.8906,0.8807
0.8893,0.8809
0.8904,0.8813
0.8902,0.8812
0.8905,0.8811
0.8898,0.8811
0.8908,0.8818
0.891,0.8818
0.8915,0.8822
0.8906,0.8818
0.8902,0.8816
0.8897,0.8808
0.8905,0.882
0.8889,0.8812
0.8897,0.882
0.8885,0.8815
0.8859,0.8808
0.8847,0.8811
0.8711,0.8806
0.8858,0.8817
0.8818,0.88
0.8888,0.8817
0.8664,0.8806
0.889,0.8815
0.8635,0.881
0.8911,0.8812
0.8749,0.8811
0.8925,0.8815
0.8746,0.8803
0.8913,0.8816
0.8782,0.8797
0.8924,0.8815
0.8875,0.8804
0.8921,0.8816
0.8904,0.88
0.891,0.882
0.8911,0.8804
0.8909,0.8821
0.8911,0.8799
0.8905,0.8819
0.8914,0.8799
0.8912,0.882
0.8917,0.8802
0.8919,0.8826
0.8919,0.8813
0.8917,0.8827
0.8912,0.8805
0.8916,0.8818
0.8912,0.881
0.8918,0.8819
0.8906,0.8811
0.8915,0.8822
0.8903,0.8812
0.8916,0.8803
0.891,0.881
0.8915,0.8805
0.8913,0.8806
0.8911,0.8799
0.8906,0.8808
0.891,0.88
0.8909,0.8816
0.8916,0.8796
0.8909,0.881
0.8911,0.8788
0.8905,0.8822
0.8905,0.8785
0.8905,0.8818
0.8911,0.8802
0.8901,0.8826
0.8909,0.8808
0.8904,0.8824
0.8909,0.8814
0.8895,0.8827
0.8909,0.8818
0.8901,0.8821
0.8905,0.8817
0.8899,0.8812
0.89,0.8815
0.89,0.8819
0.8902,0.8825
0.8892,0.8824
0.89,0.8828
0.8896,0.8811
0.8897,0.8832
0.8897,0.8814
0.8901,0.8827
0.8901,0.8811
0.8906,0.8831
0.8902,0.8811
0.89,0.8828
0.8897,0.8819
0.8893,0.8824
0.8902,0.8819
0.8905,0.8823
0.8903,0.882
0.8902,0.8827
0.8909,0.8818
0.8904,0.8828
0.8905,0.881
0.8897,0.882
0.8909,0.8813
0.8901,0.8827
0.8908,0.8809
0.8905,0.8832
0.8908,0.8812
0.8907,0.8829
0.8912,0.8813
0.8905,0.8822
0.8905,0.8817
0.8906,0.8819
0.8908,0.881
